stock,date,return prediction,return realization,volatility prediction,volatility realization
ASA,2019-09-24 19:50:00,1.249842572759014,-2.803030303030297,0.8713173469387759,0.4777801773561457
BKR,2019-10-31 17:45:00,0.6709387882323916,2.1993448759943792,0.8588292682926821,0.20556358179352646
AG,2019-10-30 12:05:00,0.6533224203145857,0.0,0.8639981481481471,1.3031265374163337
AG,2019-10-30 11:55:00,0.8131004632726891,0.19267822736030416,0.8732576000000015,1.2966516393144416
ARGX,2019-10-31 10:45:00,0.32219121155472813,3.7971542025148937,0.8702965909090907,0.9965618928158972
